unique_id,power_plant_name,country,country_iso3c,bri_country,region,subregion,province,city,installed_capacity,commissioning_year,primary_fuel,latitude,longitude,duplicate_power_plant,investment_type,investment_cofinanced_bu,debt_investment_averaged,debt_investment_weighted,equity_investment_weighted,total_investment_amount,equity_investor_name_1,equity_investor_amount_1,equity_investor_name_2,equity_investor_amount_2,equity_investment_type,equity_investment_year,parent_company_of_investor,SOE_or_POE,debt_investment_year,debt_investment_amount,number_of_lenders,bank_of_china,china_development_bank,export_import_bank_of_china,industrial_and_commercial_bank_of_china,china_construction_bank,bank_of_communications,agricultural_bank_of_china,china_citic_bank_corp,china_merchants_bank,china_minsheng_banking_corp,china_zheshang_bank,china_everbright_bank,silk_road_fund,china_co-financing_fund_for_latin_america_and_the_caribbean,compid,unit_id,location_id.x,gppd_id,fdi_id,rma_id,bu_id,sais_id,iad_id,r_id,ij_id,cgp_id,RE/Fossil
CAF2021001,BOALI-III,Central African Republic,CAF,Y,Africa,Sub-Saharan Africa,Ombella-M'Poko,Boali,10,,hydro,,,N,Debt,,N,N,,30,,,,,,,,,2011,30,,,,30,,,,,,,,,,,,1002326,1212883; 1212884,1074321,,,,81,,,,,,RE
CHL2021001,CHACAYES,Chile,CHL,Y,Americas,Latin America and the Caribbean,O'Higgins,Coya - Rancagua,111,2011,hydro,-34.2756,-70.4523,N,Both,,Y,Y,,119.0481752,State Power Investment Corp Ltd,,,,M&A,2017,State Power Investment Corp Ltd,SOE,2020,119.0481752,,29.7620438,,,29.7620438,29.7620438,,29.7620438,,,,,,,,1034450,1199415; 1213817,1067237,CHL0001018,,,,,,,54187,CL.F.001.1; CL.F.001.2,RE
CHL2021002,COLMITO,Chile,CHL,Y,Americas,Latin America and the Caribbean,Valparaiso,Concon,60,2008,oil ,-32.9304,-71.474,N,Equity,,,,,,State Power Investment Corp Ltd,,,,M&A,,State Power Investment Corp Ltd,SOE,,,,,,,,,,,,,,,,,,1042671,1209464,1072562,CHL0000110,,,,,,,,CL.F.004,Fossil
CHL2021003,COYA,Chile,CHL,Y,Americas,Latin America and the Caribbean,O'Higgins,Coya,33.5,1948,hydro,-34.2049,-70.5257,N,Both,,Y,Y,,35.92895377,State Power Investment Corp Ltd,,,,M&A,2017,State Power Investment Corp Ltd,SOE,2020,35.92895377,,8.982238443,,,8.982238443,8.982238443,,8.982238443,,,,,,,,1034450,1162365; 1162367; 1162366; 1162368,1041823,CHL0001025,,,,,,,54187,CL.F.005.1; CL.F.005.2; CL.F.005.3; CL.F.005.4,RE
CHL2021004,LA CONFLUENCIA,Chile,CHL,Y,Americas,Latin America and the Caribbean,O'Higgins,San Fernando,165.4,2010,hydro,-34.8335,-70.5537,N,Equity,,,,N,66.84,State Power Investment Corp Ltd,66.84,,,M&A,2007,State Power Investment Corp Ltd,SOE,,,,,,,,,,,,,,,,,,1042671,1206538; 1206539,1071050,CHL0001055,,,,,,,17107,CL.F.006.1; CL.F.006.2,RE
CHL2021005,LA HIGUERA,Chile,CHL,Y,Americas,Latin America and the Caribbean,O'Higgins,San Fernando,154.8,2010,hydro,-34.7515,-70.7143,N,Both,,Y,Y,,42.75,State Power Investment Corp Ltd,,,,M&A,,State Power Investment Corp Ltd,SOE,2019,42.75,,42.75,,,,,,,,,,,,,,1042671,1178638; 1196037,1053156,CHL0001056,,,,,,,46025,CL.F.007.1; CL.F.007.2,RE
CHL2021006,PANGAL,Chile,CHL,Y,Americas,Latin America and the Caribbean,O'Higgins,Machali,35.2,1996,hydro,,,N,Both,,Y,Y,,37.75221411,State Power Investment Corp Ltd,,,,M&A,2017,State Power Investment Corp Ltd,SOE,2020,37.75221411,,9.438053528,,,9.438053528,9.438053528,,9.438053528,,,,,,,,1034450,1162369; 1162370; 1162372; 1162371; 1162373,1041824,,,,,,,,54187,CL.F.008.1; CL.F.008.2; CL.F.008.3; CL.F.008.4; CL.F.008.5,RE
CHL2021007,PUNTA SIERRA,Chile,CHL,Y,Americas,Latin America and the Caribbean,Coquimbo,Ovalle - Coquimbo,81.6,2018,onshore wind,,,N,Both,,Y,Y,,115.8306569,State Power Investment Corp Ltd,,,,M&A,2017,State Power Investment Corp Ltd,SOE,2020,115.8306569,,28.95766423,,,28.95766423,28.95766423,,28.95766423,,,,,,,,1034450,1243657,1092108,,,,,,,,54187,CL.F.009,RE
CHL2021008,Stanari Power Plant,Chile,CHL,Y,Americas,Latin America and the Caribbean,Unspecified,,300,,solar pv,,,N,Debt,N,N,N,,900,,,,,,,,,2012,900,,,900,,,,,,,,,,,,,,,,,,,112,,,,,,RE
CHL2021009,,Chile,CHL,Y,Americas,Latin America and the Caribbean,VIII: Region del Biobio,Rucalhue,90,,hydro,,,N,Equity,,,,,,Atiaia Energia,,,,Greenfield,2018,China Three Gorges Corp,SOE,,,,,,,,,,,,,,,,,,,,,,504335,,,,,,,,RE
CHL2021010,,Chile,CHL,Y,Americas,Latin America and the Caribbean,,,130,,solar pv,,,N,Equity,,,,,,JA Solar Co Ltd,,,,Greenfield,2015,Dongtai Jingtaifu Technology Co Ltd,POE,,,,,,,,,,,,,,,,,,,,,,342369,,,,,,,,RE
CHL2022011,LOS LOROS,Chile,CHL,Y,Americas,Latin America and the Caribbean,Atacama,Los Loros - Tierra Amarilla,54,2016,solar pv,,,N,Debt,,N,N,,6.7,,,,,,,,,2016,6.7,,,,,,,,,,,,,,,6.7,1009489,1278136,1113778,,,,,,,,34823,,RE
CHL2022012,NEGRETE BIOBIO,Chile,CHL,Y,Americas,Latin America and the Caribbean,Maule,Negrete - Biobio Prov,39,2021,onshore wind,,,N,Debt,,N,N,,52,,,,,,,,,2013,52,,,52,,,,,,,,,,,,,1050815,1279371,1114687,,,,,,,,26128,,RE
CHL2023013,AMOLANAS,Chile,CHL,Y,Americas,Latin America and the Caribbean,Coquimbo,Ovalle - Coquimbo,117,2024,onshore wind,,,N,Equity,,,,,,State Power Investment Corp Ltd,,,,M&A,2017,State Power Investment Corp Ltd,SOE,,,,,,,,,,,,,,,,,,1034450,1311370,1137440,,,,,,,,,CL.F.003,RE
CHL2023014,AMOLANAS,Chile,CHL,Y,Americas,Latin America and the Caribbean,Coquimbo,Ovalle - Coquimbo,82.1,2024,solar pv,,,N,Equity,,,,,,State Power Investment Corp Ltd,,,,M&A,2017,State Power Investment Corp Ltd,SOE,,,,,,,,,,,,,,,,,,1034450,1311371,1137440,,,,,,,,,CL.F.002,RE
CHL2023015,X-ELIO GUANACO,Chile,CHL,Y,Americas,Latin America and the Caribbean,Antofagasta,Guanaco,57,2023,solar pv,,,N,Equity,,,,,,China Three Gorges Corp,,,,M&A,,China Three Gorges Corp,SOE,,,,,,,,,,,,,,,,,,1036696,1311435,1137493,,,,,,,,,CL.F.010,RE
CHL2023016,X-ELIO LA CRUZ,Chile,CHL,Y,Americas,Latin America and the Caribbean,Antofagasta,Maria Elena - Tocopilla Prov,58,2022,solar pv,,,N,Equity,,,,,,China Three Gorges Corp,,,,M&A,,China Three Gorges Corp,SOE,,,,,,,,,,,,,,,,,,1036696,1311434,1137492,,,,,,,,,CL.F.011,RE
CHL2023017,X-ELIO URIBE,Chile,CHL,Y,Americas,Latin America and the Caribbean,Antofagasta,Antofagasta,56.7,2017,solar pv,,,N,Equity,,,,,,China Three Gorges Corp,,,,M&A,,China Three Gorges Corp,SOE,,,,,,,,,,,,,,,,,,1036696,1285527,1118891,,,,,,,,,CL.F.012,RE
CIV2021001,GRIBO-POPOLI,COTE D'IVOIRE,CIV,Y,Africa,Sub-Saharan Africa,Bas-Sassandra,Buyo,112,2021,hydro,,,N,Debt,N,N,N,,290,,,,,,,,,2019,290,1,,,290,,,,,,,,,,,,1001430,1268451; 1294259; 1294260,1107650,,,,273,CI.041,,154087080988,49886,CI.002.1; CI.002.2; CI.002.3,RE
CIV2021002,SOUBRE,COTE D'IVOIRE,CIV,Y,Africa,Sub-Saharan Africa,Bas-Sassandra,Soubre,275,2017,hydro,,,N,Both,N,N,N,N,558.2,Power Construction Corporation of China,72,,,Greenfield,2013,Power Construction Corporation of China,SOE,2013,486.2,,,,486.2,,,,,,,,,,,,1001430,1146115;1146116;1146117;1146118,1016325,,,,128,CI.009,,,41037,CI.001.1; CI.001.2; CI.001.3; CI.001.4,RE
CMR2021002,HYDRO-MEKIN,Cameroon,CMR,Y,Africa,Sub-Saharan Africa,Sud,Meyomessala - Dja-et-Lobo,15,2019,hydro,,,N,Debt,N,N,N,,53,,,,,,,,,2009,53,,,,53,,,,,,,,,,,,1054022,1287262;1287263;1287264,1120032,,,,64,CM.010,,,,CM.002.1; CM.002.2; CM.002.3,RE
CMR2021003,MEMVE'ELE,Cameroon,CMR,Y,Africa,Sub-Saharan Africa,Sud,Nyabizan - Mvila,210,2020,hydro,,,N,Debt,N,N,N,,541,,,,,,,,,2012,541,,,,541,,,,,,,,,,,,1018268,1204459;1232178;1232179;1232180,1070049,,,,110,CM.018,,,41030,CM.003.1; CM.003.2; CM.003.3; CM.003.4,RE
CMR2021004,MEMVE'ELE,Cameroon,CMR,Y,Africa,Sub-Saharan Africa,Sud,Nyabizan - Mvila,,,hydro,,,Y,Debt,N,N,N,,142,,,,,,,,,2017,142,,,,142,,,,,,,,,,,,1018268,1204459;1232178;1232179;1232180,1070049,,,,224,CM.069,,,41030,CM.003.1; CM.003.2; CM.003.3; CM.003.4,RE
CMR2022005,Cameroon Solar System Electrification Project Phase 1,Cameroon,CMR,Y,Africa,Sub-Saharan Africa,,,,,solar pv,,,N,Debt,,N,N,,81,,,,,,,,,2016,81,,81,,,,,,,,,,,,,,,,,,,,,,,,35875,,RE
CMR2023006,DJOUM,Cameroon,CMR,Y,Africa,Sub-Saharan Africa,Sud,Djoum,0.186,2018,solar pv,,,N,Debt,,N,N,,90,,,,,,,,,2015,90,,,,90,,,,,,,,,,,,1006015,1306384,1119943,,,,,,,,,CM.001,RE
COD2021001,BUSANGA,CONGO DEM REP,COD,Y,Africa,Sub-Saharan Africa,Lualaba,Kolwezi,240,2023,hydro,,,N,Debt,N,N,N,,825,,,,,,,,,2015,825,,,,825,,,,,,,,,,,,1028318,1184903;1290528;1290529;1290530,1057631,,,,82,CD.011,,,,CD.003.1; CD.003.2; CD.003.3; CD.003.4,RE
COD2021002,ZONGO-II,CONGO DEM REP,COD,Y,Africa,Sub-Saharan Africa,Kongo Central,,150,2018,hydro,,,N,Debt,N,N,N,,367,,,,,,,,,2011,367,,,,367,,,,,,,,,,,,1006014,1220875;1263808;1263809,1078864,,,,83,CD.012,,,,CD.001.1; CD.001.2; CD.001.3,RE
COG2021001,IMBOULOU,CONGO,COG,Y,Africa,Sub-Saharan Africa,Pool,Imboulou,120,2011,hydro,-2.97,16.08,N,Debt,,N,N,,264,,,,,,,,,2009,264,,,,264,,,,,,,,,,,,1006016,1149233; 1179716; 1179717; 1179718,1057630,WRI1023145,,,,CG.005.04,,,,,RE
COG2021002,IMBOULOU,CONGO,COG,Y,Africa,Sub-Saharan Africa,Pool,Imboulou,,,hydro,,,Y,Debt,N,N,N,,238,,,,,,,,,2003,238,,,,238,,,,,,,,,,,,1006016,1149233; 1179716; 1179717; 1179718,1057630,WRI1023145,,,10,,,,,,RE
COG2021003,LIOUESSO,CONGO,COG,Y,Africa,Sub-Saharan Africa,Sangha,Mokeko Sub-prefecture,19.5,2017,hydro,,,N,Debt,N,N,N,,142,,,,,,,,,2012,142,,,,142,,,,,,,,,,,,1006016,1176766;1258398;1258399,1051832,,,,116,CG.009.04; CG.009.11,,,,CG.001.1; CG.001.2; CG.001.3,RE
CUB2021001,Jesus Rabi,Cuba,CUB,Y,Americas,Latin America and the Caribbean,,Matanzas,20,,biomass,,,N,Debt,,N,N,,60,,,,,,,,,2015,60,,,,60,,,,,,,,,,,,,,,,,,176,,86,,,,RE
CUB2021002,ZEDM SOLAR,Cuba,CUB,Y,Americas,Latin America and the Caribbean,Artemisa,Zona Especial Desarrollo Mariel (ZEDM),50,2021,solar pv,,,N,Debt,Y,N,N,,60,,,,,,,,,2017,60,,,,60,,,,,,,,,,,,1006677,1277375,1113262,,,,,,88,,,,RE
CZE2021001,DUBCANY,Czechia,CZE,Y,Europe,Eastern Europe,Olomoucky,Dubcany,2.97,2010,solar pv,,,N,Equity,,,,,,ET SOLAR Inc,,,,Greenfield,,ET SOLAR Inc,POE,,,,,,,,,,,,,,,,,,1046726,1272512,1110179,,,,,,,,,CZ.F.001,RE
ECU2021001,COCA CODO SINCLAIR,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Napo,El Chaco Canton,1506.4,2016,hydro,,,N,Debt,N,N,N,,1682.7,,,,,,,,,2010,1682.7,,,,1682.7,,,,,,,,,,,,1034932,1208728; 1210458; 1210459; 1210460; 1210461; 1210462; 1210463; 1210464,1072132,,,,65,,14,,,EC.006.1; EC.006.2; EC.006.3; EC.006.4; EC.006.5; EC.006.6; EC.006.7; EC.006.8,RE
ECU2021002,COCA CODO SINCLAIR,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Napo,El Chaco Canton,,,hydro,,,Y,Debt,N,N,N,,509,,,,,,,,,2014,509,,,,509,,,,,,,,,,,,1034932,1208728; 1210458; 1210459; 1210460; 1210461; 1210462; 1210463; 1210464,1072132,,,,155,,52,,,EC.006.1; EC.006.2; EC.006.3; EC.006.4; EC.006.5; EC.006.6; EC.006.7; EC.006.8,RE
ECU2021003,DELSITANISAGUA,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Zamora-Chinchipe,Zamora Canton,180,2024,hydro,,,N,Debt,,N,N,,185,,,,,,,,,2011,185,,,185,,,,,,,,,,,,,1040360,1238191;1238192;1268658,1088940,,,,86,,17,,,EC.008,RE
ECU2021004,ESMERALDAS,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Esmeraldas,Vuelta Larga - Esmeraldas Canton,100.2,2014,oil ,,,N,Debt,,N,N,,50,,,,,,,,,2011,50,,,50,,,,,,,,,,,,,1022456,1231952;1231953;1231954;1231955;1231956;1231957;1231958;1231959;1267279;1267280;1267281;1267282,1019576,,,,88,,17,,,EC.005,Fossil
ECU2021005,MAZAR DUDAS,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Canar,Canton Azogues,7.426,,hydro,,,N,Debt,,N,N,,41.6,,,,,,,,,2011,41.6,,,41.6,,,,,,,,,,,,,1039784,1229194,1083963,,,,,,17,,,,RE
ECU2021006,MINAS SAN FRANCISCO,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Guayas,Gramalote,270,2018,hydro,,,N,Debt,N,N,N,,312.48,,,,,,,,,2013,312.48,,,,312.48,,,,,,,,,,,,1040360,1231360;1241569;1241570,1085137,,,,129,,20,,46219,EC.009.1; EC.009.2; EC.009.3,RE
ECU2021007,QUIJOS,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Napo,Cuyuja Canton,50.1,2021,hydro,,,N,Debt,,N,N,,95.5,,,,,,,,,2011,95.5,,,95.5,,,,,,,,,,,,,1034932,1166923; 1181373; 1181374,1045293,,,,85,,,,,,RE
ECU2021008,PAUTE-SOPLADORA,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Azuay,Cuenca Canton,321,2016,hydro,,,N,Debt,N,N,N,,571,,,,,,,,,2010,571,,,,571,,,,,,,,,,,,1022457,1202108; 1203807; 1203808,1068813,,,,66,,16,,,EC.007.1; EC.007.2; EC.007.3,RE
ECU2021009,VILLONACO,Ecuador,ECU,Y,Americas,Latin America and the Caribbean,Loja,Loja Canton,16.5,2013,onshore wind,,,N,Debt,,N,N,,37.5,,,,,,,,,2011,37.5,,,37.5,,,,,,,,,,,,,1040360,1231974,1085468,,,,89,,17,,,EC.004,RE
EGY2021001,BENBAN ACWA,Egypt,EGY,Y,Africa,Northern Africa,Aswan,Benban - Markaz Deraw,165.5,2019,solar pv,,,N,Both,,Y,N,N,86.9,Chint Group Corp ,13.9,,,Greenfield,2017,Chint Group Corp ,POE,2017,73,3,,,,73,,,,,,,,,,,1036210,1286782;1286783;1286784,1119743,,,,,,,154083645839,38186,,RE
EGY2021002,PORT SAID EAST,Egypt,EGY,Y,Africa,Northern Africa,Bur Said,Port Said,728,2003,gas,31.0995,32.5202,N,Equity,,,,,,China General Nuclear Power Corp,,,,M&A,,China General Nuclear Power Corp,SOE,,,,,,,,,,,,,,,,,,1039690,1165127; 1165128,1044126,WRI1000089,,,,,,,15043,EG.F.001.1; EG.F.001.2,Fossil
EGY2021003,SUEZ GULF,Egypt,EGY,Y,Africa,Northern Africa,As Suways,Suez,728,2003,gas,29.6188,32.3532,N,Equity,,,,,,China General Nuclear Power Corp,,,,M&A,,China General Nuclear Power Corp,SOE,,,,,,,,,,,,,,,,,,1039690,1165125; 1165126,1044125,WRI1000088,,,,,,,15043,EG.F.002.1; EG.F.002.2,Fossil
EGY2021004,Al Subh ,Egypt,EGY,Y,Africa,Northern Africa,,,50,,solar pv,,,N,Debt,,N,N,,20,,,,,,,,,2017,20,4,,,,20,,,,,,,,,,,,,,,,,,,,154083646114,38207,,RE
EGY2021005,BENBAN ACCESS/EREN,Egypt,EGY,Y,Africa,Northern Africa,Aswan,Benban - Markaz Deraw,100,2019,solar pv,,,N,Both,,N,N,N,45.86,TBEA Xinjiang Sunoasis Co Ltd,5.86,,,Greenfield,2017,Xinjiang TBEA Group Co Ltd,POE,2017,40,7,,,,40,,,,,,,,,,,1048412,1268474; 1292757,1107659,,,,,,,154083639064; 154083643512; 154083645573; 154083649411,38214,,RE
EGY2021006,,Egypt,EGY,Y,Africa,Northern Africa,,,300,,solar pv,,,N,Equity,,,,,,Hanergy Holdings Group Co Ltd,,,,Greenfield,2018,Hanergy Holdings Group Co Ltd,POE,,,,,,,,,,,,,,,,,,,,,,480583,,,,,,,,RE
ERI2021001,HIRGIGO,Eritrea,ERI,Y,Africa,Sub-Saharan Africa,Semenawi Keyih Bahri,Massawa,47.6,2017,oil ,,,N,Debt,N,N,N,,100,,,,,,,,,2014,100,,,,100,,,,,,,,,,,,1002452,1249041; 1249042,1095529,,,,178,ER.008,,,,ER.001,Fossil
ETH2021001,ADAMA WIND-II,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Misraq Shewa,Adama,153,2016,onshore wind,,,N,debt,N,N,N,,293.25,,,,,,,,,2013,293.25,,,,293.25,,,,,,,,,,,,1038705,1224270,1080956,,,,130,ET.033,,,41039,ET.002.1; ET.002.2,RE
ETH2021002,ADAMA WIND-I ,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Misraq Shewa,Adama,51,2012,onshore wind,,,N,debt,N,N,N,,99,,,,,,,,,2010,99,,,,99,,,,,,,,,,,,1038705,1261880,1080956,,,,91,ET.017,,,41042,ET.002.1; ET.002.2,RE
ETH2021003,AYSHA-II,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Somali,Dire Dawa - Shenelle,120,2022,onshore wind,,,N,Debt,N,N,N,,218.705,,,,,,,,,2017,218.705,1,,,218.705,,,,,,,,,,,,1002501,1231780,1085374,,,,228,ET.057,,154085612587,,ET.004,RE
ETH2021004,CHEMOGA-YEDA-I,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Amhara,Chemoga,118,,hydro,,,N,Debt,N,N,Y,,315,,,,,,,,,2009,315,,,,315,,,,,,,,,,,,1002501,1165230; 1165231,1044158,,,,42,,,,,,RE
ETH2021005,CHEMOGA-YEDA-II,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Amhara,Chemoga,90,,hydro,,,N,Debt,N,N,Y,,240,,,,,,,,,2009,240,,,,240,,,,,,,,,,,,1002501,1165269; 1165270,1044177,,,,42,,,,,,RE
ETH2021006,FINCHAA-AMERTI-NESHE (FAN),Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Oromia,Welega,97,2011,hydro,9.558,37.3663,N,Debt,N,N,N,,116,,,,,,,,,2007,116,,,,116,,,,,,,,,,,,1002501,1200473;1200474,1067845,WRI1000058,,,26,ET.004,,,,ET.001.1; ET.001.2,RE
ETH2021007,GEBA-1,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Oromia,,220,,hydro,,,N,Debt,N,N,Y,,329.8,,,,,,,,,2014,329.8,,,,329.8,,,,,,,,,,,,1002501,1264041,1104846,,,,156,,,,,,RE
ETH2021008,GEBA-2,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Oromia,,165,,hydro,,,N,Debt,N,N,Y,,116.6,,,,,,,,,2014,116.6,,,,116.6,,,,,,,,,,,,1002501,1264042,1104847,,,,156,,,,,,RE
ETH2021009,GENALE-DAWA-III,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Somali NRG,Filtu Wereda - Liben Zone,254.1,2020,hydro,,,N,Debt,N,N,N,,326,,,,,,,,,2009,326,,,,326,,,,,,,,,,,,1002501,1200461; 1250998; 1250999,1067844,,,,43,,,,,ET.003.1; ET.003.2; ET.003.3,RE
ETH2021010,GILGEL GIBE-III,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Oromia,Bale,1870,2016,hydro,,,N,Debt,N,N,N,,28.9,,,,,,,,,2009,28.9,,,,28.9,,,,,,,,,,,,1002501,1198271;1200463;1200464;1200465;1200466;1200467;1200468;1200469;1200470;1200471,1066600,,,,44,,,,,,RE
ETH2021011,GILGEL GIBE-III,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Oromia,Bale,,,hydro,,,Y,Debt,,N,N,,425,,,,,,,,,2010,425,,,,,425,,,,,,,,,,,1002501,1198271;1200463;1200464;1200465;1200466;1200467;1200468;1200469;1200470;1200471,1066600,,,,,ET.030,,,,,RE
ETH2021012,GILGEL GIBE-III,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Oromia,Bale,,,hydro,,,Y,Debt,,N,N,,277,,,,,,,,,2011,277,,,,277,,,,,,,,,,,,1002501,1198271;1200463;1200464;1200465;1200466;1200467;1200468;1200469;1200470;1200471,1066600,,,,,ET.032;ET.061,,,,,RE
ETH2021014,HALELE,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,SNNPR,Gumer,96,,hydro,,,N,Debt,N,N,Y,,140.9,,,,,,,,,2009,140.9,,,,140.9,,,,,,,,,,,,1002501,1165241; 1165242,1044164,,,,41,,,,,,RE
ETH2021015,TEKEZE-I,Ethiopia,ETH,Y,Africa,Sub-Saharan Africa,Tigray,,300,2009,hydro,13.3492,38.7405,N,Debt,N,N,N,,50,,,,,,,,,2002,50,,,,50,,,,,,,,,,,,1002501,1163129; 1165200; 1165201; 1222165,1042646,WRI1000063,,,5,,,,,,RE
FJI2021001,NADARIVATU,Fiji,FJI,Y,Oceania,Melanesia,Viti Levu,Nadarivatu,40,2012,hydro,-17.6671,177.9413,N,Debt,Y,N,N,,70,,,,,,,,,2009,70,,,70,,,,,,,,,,,,,1002607,1198261; 1198262,1066591,WRI1061476,,,45,,,,,FJ.001.1; FJ.001.2,RE
GAB2021001,GRAND POUBARA,Gabon,GAB,Y,Africa,Sub-Saharan Africa,Haut-Ogooue,Bitono,160,2013,hydro,,,N,Debt,N,N,N,,336,,,,,,,,,2008,336,,,,336,,,,,,,,,,,,1015256,1245095; 1254099; 1254100; 1254101,1092961,,,,34,GA.004,,,,GA.001.1; GA.001.2; GA.001.3; GA.001.4,RE
GAB2021002,,Gabon,GAB,Y,Africa,Sub-Saharan Africa,,,70,,hydro,,,N,Equity,,,,,,TBEA Co Ltd,,,,Greenfield,2018,Xinjiang TBEA Group Co Ltd,POE,,,,,,,,,,,,,,,,,,,,,,470278,,,,,,,,RE
GAB2023003,Impératrice Eugénie,Gabon,GAB,Y,Africa,Sub-Saharan Africa,Ngounie ,Fougamou,84,,hydro,,,N,Debt,,N,N,,,,,,,,,,,2018,3.11,,,,3.11,,,,,,,,,,,,1015256,1237750; 1245096;1245097;1245098;1245099;1245100,1088737,,,,,GA.028,,,,,RE
GEO2021001,KHADORI-1,Georgia,GEO,Y,Asia,Western Asia,Kakheti,Jokolo Village,24,2006,hydro,,,N,Equity,,,,,,State Grid Corporation of China,,,,Greenfield,,State Grid Corporation of China,SOE,,,,,,,,,,,,,,,,,,1029425,1188449; 1200203,1059804,,,,,,,,,GE.F.001.1; GE.F.001.2,RE
GHA2021001,BUI DAM,Ghana,GHA,Y,Africa,Sub-Saharan Africa,Northern,Bole Dist,403,2013,hydro,,,N,Debt,N,N,N,,598,,,,,,,,,2007,598,,,,598,,,,,,,,,,,,1042066,1161233;1195544;1195545;1269667,1041103,,,,27,GH.005;GH.006,,,,GH.002.1; GH.002.2; GH.002.3,RE
GHA2021002,BUI DAM,Ghana,GHA,Y,Africa,Sub-Saharan Africa,Northern,Bole Dist,,,hydro,,,Y,Debt,,N,N,,161,,,,,,,,,2012,161,,,,161,,,,,,,,,,,,1042066,1161233;1195544;1195545;1269667,1041103,,,,362,GH.022;GH.066,,,,GH.002.1; GH.002.2; GH.002.3,RE
GHA2021003,GOMOA ONYADZE,Ghana,GHA,Y,Africa,Sub-Saharan Africa,Central,Gomoa East Dist,20,2018,solar pv,,,N,Equity,,,,,,BXC Ghana,,,,Greenfield,2016,Beijing Xiaocheng Technology Stock Co Ltd,POE,,,,,,,,,,,,,,,,,,1050401,1273595,1110878,,374064,,,,,,,GH.F.003,RE
GHA2021004,KPONE ASOGLI,Ghana,GHA,Y,Africa,Sub-Saharan Africa,Western,Kpone - Tema,570,2010,gas,,,N,Equity,,,,N,200,Shenzhen Energy Group Co Ltd,120,China-Africa Development Fund,80,Greenfield,2008,Shenzhen Energy Group Co Ltd,SOE,,,,,,,,,,,,,,,,,,1034246,1211428; 1211430; 1211431; 1276185; 1276213,1070462,,101228,,,,,,16760,GH.F.001.1; GH.F.001.2; GH.F.001.3; GH.F.001.4; GH.F.001.5,Fossil
GIN2021001,KALETA,Guinea,GIN,Y,Africa,Sub-Saharan Africa,Dubreka,Mamou,240,2015,hydro,,,N,Debt,N,N,N,,335,,,,,,,,,2011,335,,,,335,,,,,,,,,,,,1030888,1193152;1250316;1250317,1063000,,,,94,,,,54652,GN.001.1; GN.001.2; GN.001.3,RE
GIN2021002,KOUKOUTAMBA,Guinea,GIN,Y,Africa,Sub-Saharan Africa,Labe,Tougue,280,2025,hydro,,,N,Debt,N,N,N,,812,,,,,,,,,2019,812,,,,812,,,,,,,,,,,,1004991,1286496; 1286497; 1286498; 1286499,1119537,,,,270,,,,,,RE
GIN2021003,SOUAPITI,Guinea,GIN,Y,Africa,Sub-Saharan Africa,Dubreka,Madina Kagneguiri,450,2022,hydro,,,N,Debt,,N,N,,1175,,,,,,,,,2018,1175,,,,1175,,,,,,,,,,,,1009612,1125961; 1125962; 1125963; 1125964,1016555,,,,255,GN.007,,,54652,GN.002.1; GN.002.2; GN.002.3; GN.002.4,RE
GNQ2021001,DJIBLOHO,Equatorial Guinea,GNQ,Y,Africa,Sub-Saharan Africa,Djibloho,Anisok,120,2012,hydro,1.5758,10.4687,N,Debt,N,N,N,,257,,,,,,,,,2006,257,,,,257,,,,,,,,,,,,1012646,1185679; 1234435; 1234436; 1234437,1058106,WRI1023068,,,19,GQ.004.02,,,,GQ.001.1; GQ.001.2; GQ.001.3; GQ.001.4,RE
GNQ2021002,MALABO,Equatorial Guinea,GNQ,Y,Africa,Sub-Saharan Africa,Bioco Island,Malabo,20,2000,gas,,,N,Debt,Y,N,N,,138.8749,,,,,,,,,2009,138.8749,,,,138.8749,,,,,,,,,,,,1012646,1185675; 1185676,1056171,,,,40,,,,,,Fossil
GRC2021001,Copelouzos,Greece,GRC,Y,Europe,Southern Europe,,,,,onshore wind,,,N,Equity,,,,,,China Energy Investment Co Ltd,,,,M&A,2018,Zhongxin Tianjin Power Battery Technology Co Ltd,POE,,,,,,,,,,,,,,,,,,,,,,,3264661040,,,,,,,RE
