unique_id,power_plant_name,country,country_iso3c,bri_country,region,subregion,province,city,installed_capacity,commissioning_year,primary_fuel,latitude,longitude,duplicate_power_plant,investment_type,investment_cofinanced_bu,debt_investment_averaged,debt_investment_weighted,equity_investment_weighted,total_investment_amount,equity_investor_name_1,equity_investor_amount_1,equity_investor_name_2,equity_investor_amount_2,equity_investment_type,equity_investment_year,parent_company_of_investor,SOE_or_POE,debt_investment_year,debt_investment_amount,number_of_lenders,bank_of_china,china_development_bank,export_import_bank_of_china,industrial_and_commercial_bank_of_china,china_construction_bank,bank_of_communications,agricultural_bank_of_china,china_citic_bank_corp,china_merchants_bank,china_minsheng_banking_corp,china_zheshang_bank,china_everbright_bank,silk_road_fund,china_co-financing_fund_for_latin_america_and_the_caribbean,compid,unit_id,location_id.x,gppd_id,fdi_id,rma_id,bu_id,sais_id,iad_id,r_id,ij_id,cgp_id,RE/Fossil
ARE2021006,RAK MARITIME CITY,United Arab Emirates,ARE,Y,Asia,Western Asia,Ras al-Khaimah,Khorkhowir,270,,coal,,,N,Equity,,,,,,Shanghai Electric Power Co Ltd,,,,Greenfield,2012,State Power Investment Corp Ltd,SOE,,,,,,,,,,,,,,,,,,1041439,1247008,1094208,,243467,,,,,,,,Fossil
ARE2022007,MOHAMMED AL MAKTOUM-IV,United Arab Emirates,ARE,Y,Asia,Western Asia,Dubai,Seih Al Dahal,250,2021,solar pv,,,N,Both,,Y,Y,Y,196.74,Silk Road Fund,106.5,,,Greenfield,2019,Buttonwood Investment Holding Co Ltd,SOE,2019,90.24,7,22.56,,,22.56,,,22.56,,,,,22.56,,,1036210,1297358,1118444,,,,,,,,37536,,RE
ARE2022008,MOHAMMED AL MAKTOUM-IV,United Arab Emirates,ARE,Y,Asia,Western Asia,Dubai,Seih Al Dahal,,,solar pv,,,Y,Debt,,Y,Y,,315.76,,,,,,,,,2018,315.76,7,78.94,,,78.94,,,78.94,,,,,78.94,,,1036210,1297358,1118444,,,,,,,,37536,,RE
ARE2022009,MOHAMMED AL MAKTOUM-V,United Arab Emirates,ARE,Y,Asia,Western Asia,Dubai,Seih Al Dahal,900,2023,solar pv,,,N,Debt,,Y,N,,46.61,,,,,,,,,2020,46.61,,,,,46.61,,,,,,,,,,,1036210,1301102; 1307001; 1307002,1130054,,,,,,,,45599,,RE
ARE2022010,NOOR ABU DHABI,United Arab Emirates,ARE,Y,Asia,Western Asia,Abu Dhabi,Sweihan - Al Ain,1177,2019,solar pv,,,N,Equity,,,,N,36.24,Jinko Solar Co Ltd,36.24,,,Greenfield,2017,JinkoSolar Holding Co Ltd,POE,,,,,,,,,,,,,,,,,,1000072,1274132,1111235,,,,,,,,35733,AE.F.001,RE
ARE2023011,Mirfa,United Arab Emirates,ARE,Y,Asia,Western Asia,Abu Dhabi,Al Mirfa,1600,2017,gas,,,N,debt,,N,N,,136.13,,,,,,,,,2022,136.13,,,,,,,136.13,,,,,,,,,1047214,1286311;1166581; 1286309;1286310; 1270518,1103380,,,,,,,,62096,,Fossil
ARG2021001,Cordillera Solar I PV Solar Plant,Argentina,ARG,Y,Americas,Latin America and the Caribbean,San Juan,Las Flore,80,,solar pv,,,N,Equity,,,,,,Jinko Solar Co Ltd,,,,Greenfield,2018,JinkoSolar Holding Co Ltd,POE,,,,,,,,,,,,,,,,,,,,,,473690,,,,,,39552,,RE
ARG2021002,JORGE CEPERNIC,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Santa Cruz,Piedrabuna,950,2022,hydro,,,N,Both,,Y,Y,,3079.310345,China Gezhouba Group Corp,,,,M&A,2019,China Energy Engineering Group Co Ltd,SOE,2014,3079.310345,,524.137931,1637.931034,,917.2413793,,,,,,,,,,,1035347,1210627;1233902;1233903;1233904;1233905,1073101,,,3358148040,,,,,17729,AR.005.1; AR.005.2; AR.005.3; AR.005.4; AR.006.5,RE
ARG2021003,PRESIDENTE NESTOR KIRCHNER,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Santa Cruz,Calafate,360,2022,hydro,,,N,Both,,Y,Y,,1620.689655,China Gezhouba Group Corp,,,,M&A,2019,China Energy Engineering Group Co Ltd,SOE,2014,1620.689655,,275.862069,862.0689655,,482.7586207,,,,,,,,,,,1035347,1210626;1233907;1233908,1073100,,,3358148040,,,,,17729,AR.007.1; AR.007.2; AR.007.3,RE
ARG2021004,,Argentina,ARG,Y,Americas,Latin America and the Caribbean,,,,,hydro,,,N,Debt,N,N,N,,200,,,,,,,,,2012,200,,,200,,,,,,,,,,,,,,,,,,,108,,5,,,,RE
ARG2021005,,Argentina,ARG,Y,Americas,Latin America and the Caribbean,,,,,solar pv,,,N,Debt,,N,N,,331,,,,,,,,,2017,331,,,,331,,,,,,,,,,,,,,,,,,,,80,,,,RE
ARG2022006,El Corti ,Argentina,ARG,Y,Americas,Latin America and the Caribbean,,,98.6,,onshore wind,,,N,Debt,,Y,N,,36.25,,,,,,,,,2017,36.25,,,,,36.25,,,,,,,,,,,,,,,,,,,,,37505,,RE
ARG2022007,PE LOMA BLANCA I-IV,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Chubut,Trelew,256,2021,onshore wind,,,N,Both,,Y,N,,237.5,Xinjiang Goldwind Science & Technology Co ltd ,,,,Greenfield,2019,Xinjiang Goldwind Science & Technology Co ltd ,POE,2019,237.5,,237.5,,,,,,,,,,,,,,1057498,1310409; 1310410; 1310411; 1310407,1136727,,,,,,,,46863,AR.F.003.1; AR.F.003.2; AR.F.003.3; AR.F.003.4,RE
ARG2022008,YPF LOMA CAMPANA-II,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Neuquen,Anelo,107,2018,gas,,,N,Debt,,Y,Y,,4.29144385,,,,,,,,,2017,4.29144385,,,,,4.29144385,,,,,,,,,,,1051090,1285901,1119140,,,,,,,,38463,,Fossil
ARG2022009,YPF TUCUMAN,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Tucuman,El Bracho,466,2018,gas,,,N,Debt,,Y,Y,,10.70855615,,,,,,,,,2017,10.70855615,,,,,10.70855615,,,,,,,,,,,1051090,1285900; 1298597,1119139,,,,,,,,38463,,Fossil
